restaurant_code,restaurant_name,img_link,region,category,address,open_time,close_time,tel_no,tags,character
12,카페아뜨레,https://d12zq4w4guyljn.cloudfront.net/300_300_20260115042733_photo1_6dd1aeec37d2.webp,신대방삼거리역,"빙수,단팥죽",서울특별시 동작구 여의대방로22길 132 1층 101호,11:00,22:00,010-7297-0912,"차모임,기념일","깔끔한,크리스마스,점심식사,저녁식사,매장식사,예약가능"
13,매콤달콤떡볶이 성대시장점,https://d12zq4w4guyljn.cloudfront.net/300_300_20240814153404_photo1_3c232e2fcc86.webp,신대방삼거리역,"떡볶이,분식",서울특별시 동작구 국사봉1길 7 양지보습학원,10:30,22:00,02-822-2701,"간식,혼자먹기","캐주얼한,매콤,점심식사,저녁식사,와이파이,배달"
14,원조부안집 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260404201216_photo1_1b667076b3d7.webp,신대방삼거리역,"고기집,목살",서울특별시 동작구 상도로12길 20 1층,14:00,01:00,0507-1495-8314,,"서민적인,국내산,저녁식사,연탄불,무료주차"
15,오다 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250206043017906_photo_75637b91f7d4.jpg,신대방삼거리,"이자카야,술집",서울특별시 동작구 보라매로 96 1층,17:00,00:00,0507-1351-3708,"술모임,데이트","고급스러운,분위기좋은,저녁식사,콜키지,배달"
16,즉석 바지락손칼국수,https://d12zq4w4guyljn.cloudfront.net/300_300_20240511043115127_photo_2b1aa17e041c.webp,신대방삼거리역,바지락칼국수,서울특별시 동작구 상도로 77 바지락손칼국수,11:00,21:00,0507-1363-9686,"식사모임,혼밥","서민적인,깔끔한,점심식사,저녁식사,셀프코너,와이파이"
17,네모오징어 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250708224144_photo1_b0a87423fd30.webp,신대방삼거리역,"오징어,갑오징어",서울특별시 동작구 여의대방로24길 107 1층,11:00,22:00,0507-1371-8654,"회식,단체모임","서민적인,깔끔한,점심식사,저녁식사,유아의자,배달"
18,태화네칼국수,https://d12zq4w4guyljn.cloudfront.net/300_300_20240803104650859_photo_3dbdb59e9149.webp,신대방삼거리,칼국수,서울특별시 동작구 상도로 103,10:30,21:00,02-815-8777,"혼밥,실버푸드","서민적인,깔끔한,점심식사,저녁식사"
19,기계우동,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207125001670_photo_75637b91f7d4.jpg,신대방삼거리역,기계우동,서울특별시 동작구 여의대방로24길 140 기계우동,11:00,03:00,02-821-9397,"혼밥,야식","서민적인,노포,점심식사,저녁식사,야외테이블"
20,먹거리장터,https://d12zq4w4guyljn.cloudfront.net/300_300_20251226205148_photo1_e51421615276.webp,신대방삼거리,포차,서울특별시 동작구 여의대방로24차길 48 샬롬마트,,,02-812-1101,"술모임,간단하게한잔","서민적인,2차,바깥자리"
21,동화장,https://d12zq4w4guyljn.cloudfront.net/300_300_20241207034747_photo1_b27a90652516.webp,신대방삼거리역,"짜장면,중국집",서울특별시 동작구 여의대방로24길 137,11:00,20:30,02-821-3322,"식사모임,해장","서민적인,동네맛집,점심식사,저녁식사"
22,스미비부타동 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20250201104826_photo1_b27a90652516.webp,신대방삼거리역,"일본가정식,부타동",서울특별시 동작구 국사봉1길 4 스미비부타동,11:30,21:00,0507-1421-1829,혼밥,"깔끔한,아담한,점심식사,저녁식사,바테이블,다찌석"
23,술탄.PUB,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207020503262_photo_75637b91f7d4.webp,신대방삼거리,"술집,김치닭볶음탕",서울특별시 동작구 국사봉5길 1 1층,16:00,05:00,0507-1384-0437,낮술,"안주,분위기좋은,저녁식사"
24,사이야,https://d12zq4w4guyljn.cloudfront.net/300_300_20240721013547001_photo_75637b91f7d4.jpg,신대방삼거리,"이자카야,술집",서울특별시 동작구 보라매로 99,18:00,03:00,0507-1371-6425,"술모임,간단하게한잔","서민적인,안주,저녁식사,테라스,바테이블"
25,달맥 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20241101033453446_photo_75637b91f7d4.webp,신대방,"치킨,생맥주","서울특별시 동작구 보라매로 98-1 1층, 2층",16:30,01:00,02-813-9909,"술모임,간단히먹기","캐주얼한,안주,저녁식사,연중무휴,테라스,반려동물동반"
26,청송얼음막걸리 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20241214101321753_photo_fa9e10bbe65d.webp,신대방삼거리,"막걸리,술집",서울특별시 동작구 여의대방로24길 133 1층 청송,14:30,06:00,0507-1408-0338,"술모임,데이트","서민적인,안주,저녁식사"
27,퓨전포차 술술술,https://d12zq4w4guyljn.cloudfront.net/300_300_20240429112629537_photo_75637b91f7d4.webp,신대방삼거리,"포차,골뱅이소면",서울특별시 동작구 국사봉길 33 1층 퓨전포차 술술술,17:00,01:00,0507-1481-4779,술모임,"서민적인,안주,저녁식사"
28,춘리마라탕 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260201101820_photo1_aec27fd59f7e.webp,신대방삼거리역,"마라탕,꿔바로우",서울특별시 동작구 국사봉1길 18 2001호,10:00,03:00,0507-1491-0480,"혼밥,야식","캐주얼한,청결한,점심식사,저녁식사,연중무휴,셀프바"
29,상도감자탕,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207035721668_photo_75637b91f7d4.jpg,신대방삼거리역,"감자탕,뼈해장국",서울특별시 동작구 국사봉길 12 1층 105호,17:00,22:00,02-815-2009,"혼밥,해장","캐주얼한,얼큰,저녁식사,셀프바,배달"
30,단길,https://d12zq4w4guyljn.cloudfront.net/300_300_20240828041520764_photo_75637b91f7d4.webp,신대방삼거리,술집,서울특별시 동작구 보라매로 96-1 1층,18:00,02:00,0507-1344-3087,"술모임,혼술","서민적인,안주,저녁식사,콜키지,예약가능"
31,육전국밥 신대방삼거리역점,https://d12zq4w4guyljn.cloudfront.net/300_300_20241226053213_photo1_8ce0f4adbb15.webp,신대방삼거리역,"소고기국밥,육전국밥",서울특별시 동작구 상도로 71 1층,00:00,24:00,02-3280-4504,"술모임,해장","지역주민이찾는,깔끔한,아침식사,점심식사,저녁식사,연중무휴,셀프바,유아의자,무료주차"
32,보드람치킨,https://d12zq4w4guyljn.cloudfront.net/300_300_20250207125132921_photo_75637b91f7d4.jpg,신대방,"치킨,후라이드",서울특별시 동작구 보라매로 96-1,15:00,02:00,02-813-7979,"술모임,야식","서민적인,저렴,저녁식사,배달"
33,우이락 신대방삼거리점,https://d12zq4w4guyljn.cloudfront.net/300_300_20260407145030_photo1_6a4c2d126da1.webp,신대방삼거리역,"술집,고추튀김",서울특별시 동작구 여의대방로24길 129 1층,17:00,02:00,070-8806-5431,"술모임,혼술","캐주얼한,안주,저녁식사,바자리,다찌석"
